"Although it is still controversial whether leukotriene modifiers are more effective in patients with @Disease$ compared with other types of asthma, because LT plays an important role in the pathogenesis of AIA, @Chemical$ modifiers are the preferred medication for the long-term control of AIA."	0
The medical history of non-steroidal anti-inflammatory drugs (NSAIDs) or acetylsalicylic acid (@Chemical$) usage and the presence of coronary artery disease (@Disease$) were investigated in all patients with or without hemorrhage.	0
RESULTS: A significant association was detected between both AIU in general and the @Chemical$-intolerant acute urticaria (@Disease$) phenotype and the IL18 promoter polymorphism -607A/C.	0
Objective: Abnormalities of @Chemical$ profile were considered as risk factors of hemorrhage after ischemic @Disease$.	0
"Aspirin exacerbated @Disease$ (AERD) is a clinical condition characterized by severe decline in forced expiratory volume in one second (FEV1) following the ingestion of non-steroidal anti-inflammatory drugs (NSAIDs), including @Chemical$."	0
"At each visit, before the next dose of the drug, blood samples for determination of @Chemical$-induced @Disease$ were taken, physical examination, measurement of blood pressure (BP) and heart rate were recorded, adverse events were recorded."	1
CONCLUSION: Exhaled NO may indicate eosinophilic airway inflammation during @Chemical$ exposure in patients with ASA inducible @Disease$.	0
Most patients with @Disease$ can undergo @Chemical$ desensitization in an outpatient setting under the supervision of an allergist.	0
"The @Disease$, which can result from @Chemical$ administration, and which may occur with or without associated ulceration and bleeding, may lead patients to discontinue therapy, thus increasing their CVD risk."	1
"Aspirin-exacerbated @Disease$ (AERD) involves overexpression of proinflammatory mediators, including 5-lipoxygenase and leukotriene C4 synthase (LTC4S), resulting in constitutive overproduction of @Chemical$."	0
CONCLUSIONS: Patients on aspirin and clopidogrel &lt;5days before CABG who had preoperative ADP-induced @Disease$ &gt;=50% have bleeding risk similar to those receiving @Chemical$ monotherapy.	0
METHODS: We examined 246 @Disease$tic patients: 94 having @Chemical$ intolerance and 152 having aspirin tolerance.	0
AIM: To investigate the usefulness of anti-@Disease$ drugs for the prevention and treatment of low-dose @Chemical$-induced peptic ulcer.	0
AIM: The aim of the study was to assess the curcumin containing ethanolic extract (EtOH) obtained from Curcuma longa (Cl) against @Disease$ of wound healing by @Chemical$.	0
"Type 2 inflammation characterizes aspirin-exacerbated respiratory disease.Objectives: To determine whether high-dose @Chemical$ therapy changes biomarkers of type 2 inflammation in aspirin-exacerbated @Disease$.Methods: Forty-two subjects with aspirin-exacerbated respiratory disease underwent an aspirin desensitization and were placed on high-dose aspirin (1,300 mg daily)."	0
"CONCLUSIONS: This study showed an important proportion (18%) of dispatched aspirin users adults to digestive endoscopy, the 13.8% of them have a clear indication to use it, a substantial percent (13%) cannot inform any medical reason; the @Chemical$ usage for more than six months in doses lower than 500 mg per day increases the mucosal gastroduodenal injury prevalence (58%)and relative risk of suffering these @Disease$ are high."	1
The proportions of patients with an MLS of &gt;=1 and erosive @Disease$ were significantly lower in the rabeprazole group than in the @Chemical$ group at 12 weeks (gastric lesions 33.5 vs.	0
"Type 2 inflammation characterizes aspirin-exacerbated respiratory disease.Objectives: To determine whether high-dose aspirin therapy changes biomarkers of type 2 inflammation in aspirin-exacerbated respiratory disease.Methods: Forty-two subjects with @Chemical$-exacerbated @Disease$ underwent an aspirin desensitization and were placed on high-dose aspirin (1,300 mg daily)."	0
@Chemical$-sensitive @Disease$ (ASRD) is a condition characterized by persistent and often severe inflammation of the upper and lower respiratory tracts.	0
Bronchial mast cells are the dominating LTC4S-expressing cells in @Chemical$-tolerant @Disease$.	0
How should I treat subacute stent @Disease$ in the context of brain haemorrhage with @Chemical$?	0
"In haplotype analysis, the HLA-DRB1(*)1302-DQB1(*)0609-DPB1(*)0201 was significantly higher in the @Chemical$-induced @Disease$ (8.0%) than in the aspirin-intolerant asthma (0.7%, P=0.0014) and normal controls (2.0%, P=0.0006)."	1
Systematic review of prevalence of @Chemical$ induced @Disease$ and its implications for clinical practice.	1
"RESULTS: @Chemical$-exacerbated @Disease$ remains a complex, heterogeneous disease with manvaried clinical presentations."	1
"Data Sources: We searched PubMed, Embase, CENTRAL, and ClinicalTrials.gov from inception to May 28, 2018, with the terms novel oral anticoagulants, non-vitamin K antagonist oral anticoagulants, direct oral anticoagulants, dabigatran, rivaroxaban, @Chemical$, edoxaban, warfarin, Coumadin, vitamin K antagonist, aspirin, acetylsalicylic acid, or ASA, and major bleeding, fatal bleeding, or @Disease$."	0
"The aim of this study was to determine levels of MCP-3, RANTES, eotaxin, Il-5 and Il-3 in aspirin intolerant asthmatics (@Disease$) after nasal lysine-aspirin (Lys-@Chemical$) challenge."	0
"BACKGROUND: In patients with coronary or peripheral artery disease, the combination of rivaroxaban 2.5 mg twice daily and aspirin 100 mg once daily compared with @Chemical$ 100 mg once daily reduced major adverse cardiovascular events and mortality and increased @Disease$."	1
@Chemical$ @Disease$ affects 5-10% of asthmatics.	1
"OBJECTIVE: @Chemical$-induced @Disease$ is increasing, but whether the type of aspirin affects the gastrointestinal (GI) bleeding, especially small intestine, is unclear."	1
"Objectives: To investigate the association of @Chemical$ use with risk of all-cause, any cancer, gastrointestinal (GI) cancer, and colorectal @Disease$ (CRC) mortality among older adults and to perform an exploratory analysis of the association of aspirin use with mortality stratified by BMI."	0
Co-ingestion of @Chemical$ and acetaminophen promoting fulminant liver failure: A critical review of @Disease$ in the current perspective at the dawn of the 21st century.	0
